key_id,old_judge_id,judge_id,full_name,first_name,last_name,last_name_latin,member_state_id,member_state,member_state_code,birth_year,gender_id,gender,female,judge_court_of_justice,judge_general_court,judge_civil_service_tribunal,advocate_general,count_positions,status,non_consecutive,start_date,end_date,start_date_court_of_justice,end_date_court_of_justice,start_date_general_court,end_date_general_court,start_date_civil_service_tribunal,end_date_civil_service_tribunal,start_date_advocate_general,end_date_advocate_general
56,1505,405,Riccardo Monaco,Riccardo,Monaco,Monaco,4,Italy,IT,1909,2,Male,0,1,0,0,0,1,Former CJ judge,0,1964-10-08,1975-10-07,1964-10-08,1975-10-07,,,,,,
57,1506,406,Francesco Capotorti,Francesco,Capotorti,Capotorti,4,Italy,IT,1925,2,Male,0,1,0,0,1,2,Former CJ judge; Former AG,0,1976-01-20,1982-10-06,1976-01-20,1976-10-06,,,,,1976-10-07,1982-10-06
58,1507,407,Giacinto Bosco,Giacinto,Bosco,Bosco,4,Italy,IT,1905,2,Male,0,1,0,0,0,1,Former CJ judge,0,1976-10-07,1988-10-06,1976-10-07,1988-10-06,,,,,,
59,1508,408,Giuseppe Federico Mancini,Giuseppe Federico,Mancini,Mancini,4,Italy,IT,1927,2,Male,0,1,0,0,1,2,Former CJ judge; Former AG,0,1982-10-07,1999-07-21,1988-10-07,1999-07-21,,,,,1982-10-07,1988-10-06
60,1517,409,Giuseppe Tesauro,Giuseppe,Tesauro,Tesauro,4,Italy,IT,1942,2,Male,0,0,0,0,1,1,Former AG,0,1988-10-07,1998-03-04,,,,,,,1988-10-07,1998-03-04
61,1509,410,Antonio Saggio,Antonio,Saggio,Saggio,4,Italy,IT,1934,2,Male,0,0,1,0,1,2,Former GC judge; Former AG,0,1989-09-01,2000-10-06,,,1989-09-01,1998-03-04,,,1998-03-05,2000-10-06
62,1510,411,Antonio Mario La Pergola,Antonio Mario,La Pergola,La Pergola,4,Italy,IT,1931,2,Male,0,1,0,0,1,2,Former CJ judge; Former AG,1,1994-10-07,2006-05-03,1994-10-07,2006-05-03,,,,,1995-01-01,1999-12-14
63,1511,412,Paolo Mengozzi,Paolo,Mengozzi,Mengozzi,4,Italy,IT,1938,2,Male,0,0,1,0,1,2,Former GC judge; Former AG,0,1998-03-04,2018-10-08,,,1998-03-04,2006-05-03,,,2006-05-04,2018-10-08
64,1513,413,Antonio Tizzano,Antonio,Tizzano,Tizzano,4,Italy,IT,1940,2,Male,0,1,0,0,1,2,Former CJ judge; Former AG,0,2000-10-07,2018-10-08,2006-05-04,2018-10-08,,,,,2000-10-07,2006-05-03
65,1512,414,Enzo Moavero Milanesi,Enzo,Moavero Milanesi,Moavero Milanesi,4,Italy,IT,1954,2,Male,0,0,1,0,0,1,Former GC judge,0,2006-05-03,2011-11-15,,,2006-05-03,2011-11-15,,,,
